stationid,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
15.0,21082,2121,9216,1360,5344,1319,35,96,3168,890,11,84,2424,1177,884,501,252,269,632,394,"Census Tract 11, Kings County, New YorkCensus Tract 41, Kings County, New YorkCensus Tract 15, Kings County, New YorkCensus Tract 31, Kings County, New YorkCensus Tract 33, Kings County, New YorkCensus Tract 37, Kings County, New YorkCensus Tract 29.01, Kings County, New York",252,329,19701,21082,2121,17079,2006,8132,1205,5098,1298,26,99,3157,890,11,84,83,146,572,378,30,100,542,370,4003,1367,1084,678,246,216,9,79,11,87,0,82,2341,1152,312,289,222,254,90,128,4416,1036,1580,17,744,0,940,99,576,1605
16.0,5396,661,3940,537,650,303,0,16,130,104,0,16,557,627,119,152,0,16,119,152,"Census Tract 938, Queens County, New York",36,81,93800,5396,661,4285,537,3433,459,603,289,0,16,130,104,0,16,0,16,119,152,0,16,119,152,1111,436,507,251,47,44,0,16,0,16,0,16,557,627,0,16,0,16,0,16,407,268,42,0,45,0,52,0,222,117
17.0,10272,1033,4993,780,3203,936,0,27,826,581,0,27,766,530,484,330,169,200,315,222,"Census Tract 942.02, Queens County, New YorkCensus Tract 942.03, Queens County, New York",72,162,188405,10272,1033,7810,1061,3968,579,2757,915,0,27,826,581,0,27,30,50,229,176,0,27,229,176,2462,593,1025,453,446,310,0,27,0,27,0,27,736,530,255,234,169,200,86,89,1720,719,685,0,105,0,116,95,369,678
18.0,25459,2457,2785,1163,8935,1988,209,335,248,303,74,170,12384,2479,824,618,457,456,367,376,"Census Tract 121.01, Bronx County, New YorkCensus Tract 121.02, Bronx County, New YorkCensus Tract 123, Bronx County, New YorkCensus Tract 125, Bronx County, New YorkCensus Tract 127.01, Bronx County, New YorkCensus Tract 151, Bronx County, New YorkCensus Tract 153, Bronx County, New York",252,35,92104,25459,2457,8781,2076,353,307,7691,1945,78,153,243,302,0,82,289,374,127,170,24,109,103,147,16678,2425,2432,1135,1244,851,131,267,5,78,74,170,12095,2497,697,579,433,441,264,330,10812,1375,2872,89,49,32,6004,391,201,7734
19.0,28838,2963,3557,1457,8670,2492,50,121,371,409,0,87,15658,3277,532,387,311,276,221,265,"Census Tract 87, Bronx County, New YorkCensus Tract 89, Bronx County, New YorkCensus Tract 127.01, Bronx County, New YorkCensus Tract 129.01, Bronx County, New YorkCensus Tract 131, Bronx County, New YorkCensus Tract 133, Bronx County, New YorkCensus Tract 159, Bronx County, New York",252,35,85502,28838,2963,7859,2277,449,378,6911,2258,24,107,305,380,0,87,62,150,108,152,27,103,81,135,20979,3249,3108,1349,1759,1062,26,101,66,169,0,87,15596,3280,424,369,284,265,140,224,10069,1099,2610,21,181,0,5968,190,196,7616
20.0,60985,6224,6226,2770,18027,4145,411,579,1076,1100,40,220,33199,6649,2006,1511,1112,1063,894,994,"Census Tract 235.01, Bronx County, New YorkCensus Tract 235.02, Bronx County, New YorkCensus Tract 237.02, Bronx County, New YorkCensus Tract 237.03, Bronx County, New YorkCensus Tract 237.04, Bronx County, New YorkCensus Tract 239, Bronx County, New YorkCensus Tract 241, Bronx County, New YorkCensus Tract 251, Bronx County, New YorkCensus Tract 379, Bronx County, New YorkCensus Tract 381, Bronx County, New YorkCensus Tract 383.01, Bronx County, New YorkCensus Tract 383.02, Bronx County, New York",432,60,343815,60985,6224,17957,3848,872,765,15186,3580,54,211,1024,1075,0,167,221,394,600,746,263,469,337,501,43028,6310,5354,2610,2841,2058,357,560,52,220,40,220,32978,6660,1406,1151,849,820,557,705,25523,2508,6607,137,114,0,15281,876,434,19251
21.0,35548,3824,4281,2401,11665,2775,123,233,571,439,55,167,17620,3701,1233,877,630,551,603,618,"Census Tract 209, Bronx County, New YorkCensus Tract 217, Bronx County, New YorkCensus Tract 227.01, Bronx County, New YorkCensus Tract 227.02, Bronx County, New YorkCensus Tract 227.03, Bronx County, New YorkCensus Tract 229.01, Bronx County, New YorkCensus Tract 229.02, Bronx County, New YorkCensus Tract 233.01, Bronx County, New YorkCensus Tract 233.02, Bronx County, New York",324,45,203112,35548,3824,11934,2693,626,651,10192,2591,98,216,556,442,16,110,121,214,325,424,17,129,308,415,23614,4040,3655,2198,1473,1225,25,131,15,118,39,171,17499,3696,908,702,613,558,295,378,13442,1714,4200,24,64,55,7035,350,253,9289
22.0,47432,4667,4873,2356,16519,3730,518,664,973,846,21,143,22787,4907,1741,1255,668,596,1073,1015,"Census Tract 175, Bronx County, New YorkCensus Tract 179.01, Bronx County, New YorkCensus Tract 179.02, Bronx County, New YorkCensus Tract 181.01, Bronx County, New YorkCensus Tract 181.02, Bronx County, New YorkCensus Tract 195, Bronx County, New YorkCensus Tract 197, Bronx County, New YorkCensus Tract 221.01, Bronx County, New YorkCensus Tract 221.02, Bronx County, New York",324,45,172909,47432,4667,16532,3902,651,533,13635,3600,362,579,963,845,21,143,397,528,503,577,41,165,462,556,30900,4708,4222,2241,2884,1582,156,274,10,126,0,124,22390,4905,1238,1064,627,556,611,758,18681,1928,6220,239,413,0,9111,770,67,12372
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,43610,5528,21525,5524,1579,1019,448,553,6712,2459,0,108,12080,3702,1266,1097,372,443,894,908,"Census Tract 273, Queens County, New YorkCensus Tract 375, Queens County, New YorkCensus Tract 405, Queens County, New YorkCensus Tract 407, Queens County, New YorkCensus Tract 409, Queens County, New YorkCensus Tract 463, Queens County, New YorkCensus Tract 465, Queens County, New YorkCensus Tract 467, Queens County, New York",288,648,326400,43610,5528,8890,2672,893,668,753,611,6,107,6700,2458,0,108,247,401,291,311,45,155,246,283,34720,5839,20632,5528,826,794,442,551,12,115,0,108,11833,3631,975,1014,327,414,648,832,10417,5237,409,50,1576,0,2578,567,179,8498
25.0,17598,2081,2541,1010,1129,544,48,95,12721,2068,0,49,753,664,406,457,54,96,352,454,"Census Tract 853, Queens County, New YorkCensus Tract 855, Queens County, New YorkCensus Tract 865, Queens County, New YorkCensus Tract 871, Queens County, New York",144,324,344400,17598,2081,15339,2050,1164,529,1073,531,32,86,12643,2055,0,49,37,87,390,455,38,85,352,454,2259,1025,1377,806,56,82,16,58,78,123,0,49,716,657,16,60,16,60,0,49,4500,494,492,0,3259,0,130,125,205,426
26.0,15386,1863,7404,1470,1129,745,85,110,690,506,0,54,5563,1943,515,363,336,303,179,192,"Census Tract 264, Bronx County, New YorkCensus Tract 266.01, Bronx County, New YorkCensus Tract 266.02, Bronx County, New YorkCensus Tract 284, Bronx County, New York",144,20,108003,15386,1863,7459,1451,5504,1263,1085,743,35,73,690,506,0,54,10,60,135,169,29,87,106,155,7927,1960,1900,882,44,89,50,95,0,54,0,54,5553,1943,380,319,307,296,73,119,2465,1084,312,0,0,0,1027,42,737,1435
27.0,28872,2684,5064,1991,8677,2097,287,390,225,266,0,75,14074,2802,545,515,224,237,321,395,"Census Tract 23, Bronx County, New YorkCensus Tract 25, Bronx County, New YorkCensus Tract 39, Bronx County, New YorkCensus Tract 41, Bronx County, New YorkCensus Tract 51, Bronx County, New York",180,25,17900,28872,2684,7529,1846,253,205,6920,1744,165,290,173,251,0,75,11,78,7,70,0,75,7,70,21343,2693,4811,1954,1757,1111,122,187,52,132,0,75,14063,2801,538,513,224,237,314,391,13438,2237,3895,188,173,0,6579,366,47,10075
28.0,20510,2556,4038,1428,3653,1462,56,116,3731,1585,0,65,8292,2330,740,481,393,320,347,332,"Census Tract 78, Bronx County, New YorkCensus Tract 92, Bronx County, New YorkCensus Tract 202, Bronx County, New YorkCensus Tract 206.01, Bronx County, New YorkCensus Tract 222, Bronx County, New York",180,25,80001,20510,2556,8381,1924,961,648,3087,1290,0,65,3723,1584,0,65,380,381,230,261,118,163,112,199,12129,2286,3077,1237,566,472,56,116,8,66,0,65,7912,2368,510,398,275,254,235,251,5190,1149,814,0,1047,0,2007,173,340,3021
29.0,28440,2686,12951,1822,2276,848,450,566,10368,1828,0,86,1519,811,876,502,117,154,759,473,"Census Tract 15.01, New York County, New YorkCensus Tract 21, New York County, New YorkCensus Tract 25, New York County, New YorkCensus Tract 27, New York County, New YorkCensus Tract 29, New York County, New YorkCensus Tract 31, New York County, New York",216,366,14801,28440,2686,24751,2508,11115,1441,2067,811,450,566,10306,1834,0,86,25,93,788,478,54,129,734,461,3689,1195,1836,856,209,220,0,86,62,147,0,86,1494,809,88,130,63,125,25,90,4551,700,390,420,2409,0,588,44,372,959
30.0,10649,1407,2151,823,1976,884,29,64,2069,990,0,44,3923,1241,501,313,259,222,242,223,"Census Tract 96, Bronx County, New YorkCensus Tract 202, Bronx County, New YorkCensus Tract 204, Bronx County, New YorkCensus Tract 206.01, Bronx County, New York",144,20,70801,10649,1407,4677,1234,719,448,1576,771,0,44,2069,990,0,44,147,164,166,185,116,160,50,90,5972,1324,1432,659,400,355,29,64,0,44,0,44,3776,1233,335,283,143,168,192,207,1944,512,199,0,431,0,716,86,229,1067
31.0,23924,2738,17991,2623,580,475,0,81,4639,1362,6,79,151,244,557,477,80,175,477,431,"Census Tract 80, New York County, New YorkCensus Tract 82, New York County, New YorkCensus Tract 88, New York County, New YorkCensus Tract 90, New York County, New YorkCensus Tract 92, New York County, New YorkCensus Tract 94, New York County, New York",216,366,52600,23924,2738,22325,2728,16546,2579,566,457,0,81,4639,1362,6,79,65,139,503,472,57,155,446,407,1599,846,1445,826,14,94,0,81,0,81,0,81,86,186,54,122,23,101,31,102,2007,1301,148,0,515,6,0,37,1103,212
32.0,29540,3249,21444,2952,793,769,8,85,5762,1913,0,81,589,791,944,656,175,304,769,569,"Census Tract 70, New York County, New YorkCensus Tract 72, New York County, New YorkCensus Tract 74, New York County, New YorkCensus Tract 76, New York County, New YorkCensus Tract 80, New York County, New YorkCensus Tract 82, New York County, New York",216,366,45400,29540,3249,27954,3250,20376,2947,793,769,8,85,5762,1913,0,81,201,350,814,619,136,250,678,528,1586,943,1068,654,0,81,0,81,0,81,0,81,388,559,130,219,39,135,91,165,2981,1678,109,0,1156,0,0,38,1526,152
33.0,54412,5150,39909,4840,3491,1696,44,153,5931,2694,14,129,3041,1378,1982,1322,441,568,1541,1165,"Census Tract 148.02, New York County, New YorkCensus Tract 154, New York County, New YorkCensus Tract 156.01, New York County, New YorkCensus Tract 156.02, New York County, New YorkCensus Tract 158.01, New York County, New YorkCensus Tract 158.02, New York County, New YorkCensus Tract 160.01, New York County, New YorkCensus Tract 160.02, New York County, New YorkCensus Tract 166, New York County, New York",324,549,141611,54412,5150,44858,4879,34133,4327,3003,1542,0,126,5879,2675,14,129,154,262,1675,1200,293,449,1382,1110,9554,2588,5776,2389,488,664,44,153,52,195,0,126,2887,1313,307,418,148,245,159,298,5312,3319,585,37,469,0,626,276,2026,2111
