,Est: Total,MoE: Total,Est: Total: White alone,MoE: Total: White alone,Est: Total: Black or African American alone,MoE: Total: Black or African American alone,Est: Total: American Indian and Alaska Native alone,MoE: Total: American Indian and Alaska Native alone,Est: Total: Asian alone,MoE: Total: Asian alone,Est: Total: Native Hawaiian and Other Pacific Islander alone,MoE: Total: Native Hawaiian and Other Pacific Islander alone,Est: Total: Some other race alone,MoE: Total: Some other race alone,Est: Total: Two or more races,MoE: Total: Two or more races,Est: Total: Two or more races: Two races including Some other race,MoE: Total: Two or more races: Two races including Some other race,"Est: Total: Two or more races: Two races excluding Some other race, and three or more races","MoE: Total: Two or more races: Two races excluding Some other race, and three or more races",NAME,state,county,tract,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Est: Poverty Status Past 12 Months,Est: Poverty Status Past 12 Months (White),Est: Poverty Status Past 12 Months (Black),Est: Poverty Status Past 12 Months (Native American),Est: Poverty Status Past 12 Months (Asian),Est: Poverty Status Past 12 Months (Native Hawiian/Pacific Islander),Est: Poverty Status Past 12 Months (Other),Est: Poverty Status Past 12 Months (Two or more races),Est: Poverty Status Past 12 Months (Non-Hispanic White),Est: Poverty Status Past 12 Months (Hispanic or Latino)
1400000US36047036001,2899,211,2786,235,44,43,10,14,6,9,0,11,0,11,53,70,0,11,53,70,"Census Tract 360.01, Kings County, New York",36,047,036001,2899,211,2834,215,2731,238,34,41,10,14,6,9,0,11,0,11,53,70,0,11,53,70,65,45,55,42,10,15,0,11,0,11,0,11,0,11,0,11,0,11,0,11,954,883,24,0,0,0,0,47,873,10
1400000US36047082600,4880,679,363,496,4235,454,24,37,26,35,0,11,144,122,88,101,0,11,88,101,"Census Tract 826, Kings County, New York",36,047,082600,4880,679,4519,641,363,496,4018,387,24,37,26,35,0,11,0,11,88,101,0,11,88,101,361,267,0,11,217,228,0,11,0,11,0,11,144,122,0,11,0,11,0,11,927,60,796,0,8,0,63,0,60,224
1400000US36047016700,5278,498,4270,553,54,52,0,16,383,231,0,16,421,348,150,126,13,24,137,124,"Census Tract 167, Kings County, New York",36,047,016700,5278,498,4596,542,4032,548,31,35,0,16,383,231,0,16,0,16,150,126,13,24,137,124,682,335,238,140,23,40,0,16,0,16,0,16,421,348,0,16,0,16,0,16,274,90,0,0,86,0,98,0,51,137
1400000US36047025000,1527,207,463,132,27,33,21,32,951,218,0,11,65,86,0,11,0,11,0,11,"Census Tract 250, Kings County, New York",36,047,025000,1527,207,1390,203,417,122,1,4,21,32,951,218,0,11,0,11,0,11,0,11,0,11,137,105,46,47,26,33,0,11,0,11,0,11,65,86,0,11,0,11,0,11,282,80,7,21,174,0,0,0,71,15
1400000US36047080400,3282,416,288,113,2674,475,0,11,172,130,0,11,131,126,17,18,0,11,17,18,"Census Tract 804, Kings County, New York",36,047,080400,3282,416,3052,415,208,93,2595,451,0,11,172,130,0,11,60,98,17,18,0,11,17,18,230,141,80,73,79,100,0,11,0,11,0,11,71,79,0,11,0,11,0,11,966,77,675,0,141,0,64,9,52,29
1400000US36047025500,5270,388,1144,396,2163,477,34,50,29,33,0,16,1463,487,437,208,224,134,213,169,"Census Tract 255, Kings County, New York",36,047,025500,5270,388,1832,405,148,240,1648,322,0,16,18,19,0,16,0,16,18,19,0,16,18,19,3438,444,996,308,515,294,34,50,11,18,0,16,1463,487,419,206,224,134,195,168,2243,522,551,34,19,0,746,371,0,1727
1400000US36047028501,293,81,178,56,21,11,0,11,0,11,0,11,94,62,0,11,0,11,0,11,"Census Tract 285.01, Kings County, New York",36,047,028501,293,81,185,60,164,59,21,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,108,65,14,18,0,11,0,11,0,11,0,11,94,62,0,11,0,11,0,11,33,33,0,0,0,0,0,0,33,0
1400000US36047028700,2774,482,565,225,1883,411,0,11,224,141,7,12,95,102,0,11,0,11,0,11,"Census Tract 287, Kings County, New York",36,047,028700,2774,482,2242,466,312,137,1671,419,0,11,224,141,0,11,35,71,0,11,0,11,0,11,532,207,253,146,212,145,0,11,0,11,7,12,60,70,0,11,0,11,0,11,704,83,491,0,111,7,12,0,40,54
1400000US36047036501,2677,313,131,125,2414,341,0,11,0,11,0,11,127,95,5,9,0,11,5,9,"Census Tract 365.01, Kings County, New York",36,047,036501,2677,313,2442,316,121,119,2316,327,0,11,0,11,0,11,0,11,5,9,0,11,5,9,235,136,10,24,98,112,0,11,0,11,0,11,127,95,0,11,0,11,0,11,525,98,427,0,0,0,0,0,98,0
1400000US36047048600,3355,285,1205,309,56,59,19,29,1271,250,0,11,773,268,31,21,7,10,24,18,"Census Tract 486, Kings County, New York",36,047,048600,3355,285,2160,335,803,257,56,59,19,29,1271,250,0,11,0,11,11,16,0,11,11,16,1195,284,402,203,0,11,0,11,0,11,0,11,773,268,20,15,7,10,13,10,853,220,0,19,328,0,268,18,174,321
1400000US36047020600,2706,195,1791,192,27,22,0,11,864,214,0,11,24,28,0,11,0,11,0,11,"Census Tract 206, Kings County, New York",36,047,020600,2706,195,2492,222,1584,198,27,22,0,11,864,214,0,11,17,27,0,11,0,11,0,11,214,123,207,122,0,11,0,11,0,11,0,11,7,7,0,11,0,11,0,11,198,151,1,0,44,0,2,0,131,22
1400000US36047022400,5981,742,4207,695,106,161,0,16,623,315,0,16,1008,572,37,49,37,49,0,16,"Census Tract 224, Kings County, New York",36,047,022400,5981,742,4661,755,4031,711,7,6,0,16,623,315,0,16,0,16,0,16,0,16,0,16,1320,575,176,129,99,161,0,16,0,16,0,16,1008,572,37,49,37,49,0,16,2529,1732,7,0,187,0,603,0,1732,603
1400000US36047030500,5951,485,2473,329,2346,459,21,33,389,147,0,16,485,219,237,168,63,94,174,126,"Census Tract 305, Kings County, New York",36,047,030500,5951,485,5068,498,2290,307,2256,458,21,33,389,147,0,16,0,16,112,73,0,16,112,73,883,257,183,118,90,119,0,16,0,16,0,16,485,219,125,140,63,94,62,92,1111,308,448,0,76,0,127,152,292,348
1400000US36047007100,5002,362,1665,374,1658,307,0,16,124,95,0,16,1385,373,170,99,104,87,66,52,"Census Tract 71, Kings County, New York",36,047,007100,5002,362,2917,417,1029,263,1556,303,0,16,124,95,0,16,152,220,56,49,10,16,46,45,2085,327,636,260,102,54,0,16,0,16,0,16,1233,324,114,85,94,85,20,23,1414,280,489,0,10,0,594,41,68,857
1400000US36047014100,3928,414,2500,421,327,220,0,11,537,287,0,11,374,267,190,111,9,14,181,110,"Census Tract 141, Kings County, New York",36,047,014100,3928,414,3132,425,2107,403,265,216,0,11,537,287,0,11,53,59,170,104,0,11,170,104,796,337,393,239,62,60,0,11,0,11,0,11,321,254,20,22,9,14,11,17,251,131,37,0,43,0,20,20,87,84
1400000US36047082800,3627,454,245,211,3132,465,19,28,139,147,0,11,92,136,0,11,0,11,0,11,"Census Tract 828, Kings County, New York",36,047,082800,3627,454,3173,431,93,117,2950,430,0,11,130,145,0,11,0,11,0,11,0,11,0,11,454,297,152,176,182,242,19,28,9,15,0,11,92,136,0,11,0,11,0,11,577,106,378,9,0,0,84,0,73,126
1400000US36047121400,4465,357,683,212,3093,319,25,38,0,11,0,11,530,287,134,103,58,81,76,59,"Census Tract 1214, Kings County, New York",36,047,121400,4465,357,2919,297,21,24,2866,295,0,11,0,11,0,11,0,11,32,53,0,11,32,53,1546,292,662,214,227,158,25,38,0,11,0,11,530,287,102,97,58,81,44,49,2152,460,1498,0,0,0,150,44,21,697
1400000US36047008000,4373,555,1501,390,205,124,0,11,313,204,0,11,2114,520,240,144,89,75,151,121,"Census Tract 80, Kings County, New York",36,047,008000,4373,555,930,275,417,166,137,88,0,11,313,204,0,11,19,30,44,42,0,11,44,42,3443,544,1084,354,68,70,0,11,0,11,0,11,2095,525,196,131,89,75,107,112,664,365,21,0,70,0,169,39,88,474
1400000US36047029500,3803,374,714,212,2783,373,0,11,3,7,0,11,135,98,168,121,132,118,36,35,"Census Tract 295, Kings County, New York",36,047,029500,3803,374,3461,369,698,207,2744,368,0,11,0,11,0,11,3,10,16,17,0,11,16,17,342,141,16,24,39,43,0,11,3,7,0,11,132,98,152,120,132,118,20,31,898,124,751,0,0,0,23,0,124,23
1400000US36047044800,1924,256,1440,263,14,22,0,11,217,157,0,11,220,232,33,34,0,11,33,34,"Census Tract 448, Kings County, New York",36,047,044800,1924,256,1685,266,1421,263,14,22,0,11,217,157,0,11,0,11,33,34,0,11,33,34,239,233,19,18,0,11,0,11,0,11,0,11,220,232,0,11,0,11,0,11,399,228,0,0,6,0,144,21,228,144
1400000US36047014300,3610,382,1936,318,140,99,13,22,269,121,0,11,976,387,276,138,98,87,178,111,"Census Tract 143, Kings County, New York",36,047,014300,3610,382,1923,243,1410,204,94,65,13,22,269,121,0,11,21,24,116,80,0,11,116,80,1687,357,526,199,46,73,0,11,0,11,0,11,955,384,160,112,98,87,62,85,642,114,82,0,8,0,349,89,60,538
1400000US36047049900,1728,152,1437,150,5,7,0,11,99,59,0,11,157,109,30,33,5,8,25,32,"Census Tract 499, Kings County, New York",36,047,049900,1728,152,1405,168,1268,157,5,7,0,11,99,59,0,11,8,12,25,32,0,11,25,32,323,164,169,118,0,11,0,11,0,11,0,11,149,107,5,8,5,8,0,11,109,75,0,0,34,0,0,0,66,9
1400000US36047039900,3384,534,1186,504,1930,447,0,11,9,14,0,11,153,129,106,101,64,73,42,66,"Census Tract 399, Kings County, New York",36,047,039900,3384,534,1633,361,220,135,1395,376,0,11,9,14,0,11,9,14,0,11,0,11,0,11,1751,502,966,467,535,258,0,11,0,11,0,11,144,129,106,101,64,73,42,66,1085,272,693,0,0,0,66,54,33,578
1400000US36047056100,3003,303,2529,313,135,126,14,21,192,82,0,11,46,43,87,62,9,14,78,61,"Census Tract 561, Kings County, New York",36,047,056100,3003,303,2770,310,2342,311,135,126,14,21,192,82,0,11,0,11,87,62,9,14,78,61,233,126,187,115,0,11,0,11,0,11,0,11,46,43,0,11,0,11,0,11,281,234,0,0,30,0,17,0,192,59
1400000US36047102200,2205,230,151,57,1630,263,0,11,335,142,0,11,47,39,42,61,0,11,42,61,"Census Tract 1022, Kings County, New York",36,047,102200,2205,230,2142,234,135,51,1630,263,0,11,335,142,0,11,0,11,42,61,0,11,42,61,63,42,16,16,0,11,0,11,0,11,0,11,47,39,0,11,0,11,0,11,294,12,127,0,131,0,24,0,12,24
1400000US36047152200,3755,272,1550,188,795,241,12,16,736,274,0,11,415,238,247,144,19,30,228,140,"Census Tract 1522, Kings County, New York",36,047,152200,3755,272,3176,293,1403,178,735,233,10,15,736,274,0,11,63,101,229,140,19,30,210,136,579,221,147,97,60,55,2,4,0,11,0,11,352,223,18,29,0,11,18,29,736,115,96,0,254,0,263,8,109,269
1400000US36047015700,4289,335,3476,348,210,207,25,42,342,142,0,11,60,51,176,117,17,29,159,107,"Census Tract 157, Kings County, New York",36,047,015700,4289,335,3979,318,3370,327,87,67,25,42,342,142,0,11,13,21,142,106,0,11,142,106,310,263,106,130,123,194,0,11,0,11,0,11,47,47,34,58,17,29,17,29,69,44,2,0,21,0,2,0,44,2
1400000US36047027000,2539,352,1746,368,18,30,0,11,654,189,0,11,121,141,0,11,0,11,0,11,"Census Tract 270, Kings County, New York",36,047,027000,2539,352,2387,371,1715,364,18,30,0,11,654,189,0,11,0,11,0,11,0,11,0,11,152,140,31,29,0,11,0,11,0,11,0,11,121,141,0,11,0,11,0,11,393,327,0,0,53,0,13,0,321,19
1400000US36047087200,2726,308,50,42,2575,305,0,11,54,51,0,11,31,36,16,27,0,11,16,27,"Census Tract 872, Kings County, New York",36,047,087200,2726,308,2555,303,33,32,2468,303,0,11,54,51,0,11,0,11,0,11,0,11,0,11,171,110,17,27,107,97,0,11,0,11,0,11,31,36,16,27,0,11,16,27,417,16,381,0,0,0,20,0,16,36
1400000US36047007000,2463,318,1614,268,96,97,17,28,532,197,0,11,180,132,24,28,8,13,16,26,"Census Tract 70, Kings County, New York",36,047,007000,2463,318,2002,333,1367,285,96,97,0,11,523,196,0,11,0,11,16,26,0,11,16,26,461,192,247,128,0,11,17,28,9,13,0,11,180,132,8,13,8,13,0,11,338,161,11,17,122,0,27,0,143,62
1400000US36047043800,2632,228,1865,282,63,61,0,11,242,127,0,11,402,244,60,67,0,11,60,67,"Census Tract 438, Kings County, New York",36,047,043800,2632,228,2170,261,1805,278,63,61,0,11,242,127,0,11,0,11,60,67,0,11,60,67,462,242,60,54,0,11,0,11,0,11,0,11,402,244,0,11,0,11,0,11,678,413,10,0,10,0,245,0,402,256
1400000US36047055700,2384,255,2007,271,57,47,0,11,210,87,0,11,70,57,40,37,0,11,40,37,"Census Tract 557, Kings County, New York",36,047,055700,2384,255,1870,231,1565,225,44,42,0,11,210,87,0,11,11,17,40,37,0,11,40,37,514,217,442,214,13,19,0,11,0,11,0,11,59,55,0,11,0,11,0,11,269,227,0,0,21,0,21,0,176,72
1400000US36047022100,4255,580,1355,265,2277,447,69,102,134,120,0,11,299,217,121,88,70,71,51,53,"Census Tract 221, Kings County, New York",36,047,022100,4255,580,3538,534,1231,253,2075,452,69,102,134,120,0,11,0,11,29,26,0,11,29,26,717,300,124,72,202,141,0,11,0,11,0,11,299,217,92,78,70,71,22,33,1118,215,722,3,0,0,110,68,195,230
1400000US36047051700,1998,196,1585,217,134,159,0,11,243,113,0,11,15,22,21,23,12,19,9,14,"Census Tract 517, Kings County, New York",36,047,051700,1998,196,1796,179,1492,214,40,47,0,11,243,113,0,11,0,11,21,23,12,19,9,14,202,165,93,61,94,149,0,11,0,11,0,11,15,22,0,11,0,11,0,11,182,182,0,0,0,0,0,0,171,11
1400000US36047088400,4923,547,195,118,4499,554,0,11,63,68,0,11,62,98,104,119,0,11,104,119,"Census Tract 884, Kings County, New York",36,047,088400,4923,547,4733,562,195,118,4309,551,0,11,63,68,0,11,62,98,104,119,0,11,104,119,190,132,0,11,190,132,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1051,55,976,0,20,0,0,0,55,22
1400000US36047097000,2186,361,273,112,1800,370,0,11,37,59,0,11,76,49,0,11,0,11,0,11,"Census Tract 970, Kings County, New York",36,047,097000,2186,361,1999,374,190,81,1772,370,0,11,37,59,0,11,0,11,0,11,0,11,0,11,187,82,83,73,28,30,0,11,0,11,0,11,76,49,0,11,0,11,0,11,283,15,263,0,0,0,5,0,0,36
1400000US36047000100,4304,404,3187,381,473,187,0,11,250,121,0,11,239,201,155,124,7,16,148,124,"Census Tract 1, Kings County, New York",36,047,000100,4304,404,3884,389,3032,354,454,183,0,11,250,121,0,11,0,11,148,124,0,11,148,124,420,218,155,115,19,30,0,11,0,11,0,11,239,201,7,16,7,16,0,11,652,400,85,0,46,0,114,7,400,121
1400000US36047004500,3318,254,2939,244,45,35,0,11,169,66,0,11,51,56,114,75,0,11,114,75,"Census Tract 45, Kings County, New York",36,047,004500,3318,254,3198,238,2864,227,45,35,0,11,169,66,0,11,6,9,114,75,0,11,114,75,120,80,75,49,0,11,0,11,0,11,0,11,45,56,0,11,0,11,0,11,122,110,10,0,0,0,2,0,110,2
1400000US36047089200,3651,425,177,130,3396,422,61,93,0,11,0,11,2,3,15,22,0,11,15,22,"Census Tract 892, Kings County, New York",36,047,089200,3651,425,3449,458,51,31,3322,445,61,93,0,11,0,11,0,11,15,22,0,11,15,22,202,117,126,109,74,138,0,11,0,11,0,11,2,3,0,11,0,11,0,11,1154,70,1067,0,0,0,2,15,48,36
1400000US36047101000,2042,297,167,88,1507,306,0,11,167,119,0,11,201,176,0,11,0,11,0,11,"Census Tract 1010, Kings County, New York",36,047,101000,2042,297,1748,307,107,60,1474,306,0,11,167,119,0,11,0,11,0,11,0,11,0,11,294,180,60,62,33,37,0,11,0,11,0,11,201,176,0,11,0,11,0,11,236,22,210,0,0,0,4,0,15,29
1400000US36047019800,1978,251,1188,282,16,22,37,47,725,320,0,11,6,11,6,11,6,11,0,11,"Census Tract 198, Kings County, New York",36,047,019800,1978,251,1900,258,1167,281,8,12,0,11,725,320,0,11,0,11,0,11,0,11,0,11,78,55,21,21,8,20,37,47,0,11,0,11,6,11,6,11,6,11,0,11,326,210,8,0,108,0,0,0,210,0
1400000US36047033000,4634,354,1554,325,2278,352,79,116,299,192,0,11,389,205,35,57,35,57,0,11,"Census Tract 330, Kings County, New York",36,047,033000,4634,354,3277,314,872,210,2115,324,0,11,290,194,0,11,0,11,0,11,0,11,0,11,1357,275,682,240,163,115,79,116,9,15,0,11,389,205,35,57,35,57,0,11,1909,687,904,0,84,0,199,35,496,552
1400000US36047039000,2318,274,2246,279,0,11,12,16,60,75,0,11,0,11,0,11,0,11,0,11,"Census Tract 390, Kings County, New York",36,047,039000,2318,274,2246,285,2174,288,0,11,12,16,60,75,0,11,0,11,0,11,0,11,0,11,72,71,72,71,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,462,417,0,0,45,0,0,0,403,14
1400000US36047005300,2423,307,1387,184,258,179,0,11,79,48,0,11,542,270,157,59,77,49,80,45,"Census Tract 53, Kings County, New York",36,047,005300,2423,307,1639,225,1185,161,237,170,0,11,79,48,0,11,38,51,100,51,20,23,80,45,784,280,202,88,21,29,0,11,0,11,0,11,504,269,57,39,57,39,0,11,537,195,133,0,0,0,201,8,115,283
1400000US36047024700,2104,177,445,146,1436,168,0,11,111,71,0,11,52,57,60,36,16,18,44,26,"Census Tract 247, Kings County, New York",36,047,024700,2104,177,1951,184,414,140,1393,163,0,11,111,71,0,11,0,11,33,26,0,11,33,26,153,86,31,28,43,47,0,11,0,11,0,11,52,57,27,28,16,18,11,18,422,48,331,0,20,0,0,23,48,8
